missing,gender,ethnicit,race1,race2,race3,race4,race5,race6,race7,eas01,eas02,eas03,eas04,eas05,eas06,eas07,eas08,eas09,eas10,eas11,eas12,eas13,eas14,eas15,eas16,eas17,eas18,eas19,eas20,eas21,eas22,eas23,eas24,eas25,eas26,eas27,eas28,eas29,eas30,eas31,eas32,eas33,eas34,eas35,eas36,eas37,eas38,eas39,eas40,eas41,eas42,eas43,eas44,eas45,eas46,eas47,eas48,eas49,eas50,eas51,eas52,eas53,eas54,eas55,eas56,eas57,eas58,eas59,eas60,eas61,eas62,EAS23REV,EAS30REV,EAS06RV,EAS12RV,EAS18RV,EAS24RV,EAS29RV,EAS37RV,EAS43RV,EAS48RV,EAS53RV,EAS57RV,EAS62RV,bfin01,bfin02,bfin03,bfin04,bfin05,bfin06,bfin07,bfin08,BFINEURO,EABEHAV,EADEVAL,EAPROCRA,EADISTRA,EAREPRES,EATOLERA,EATOLREV,MEAQTOT,MEAQBV
0,1,1,0,0,0,0,1,0,0,5,1,5,5,4,5,2,1,5,1,4,5,5,3,5,5,3,5,5,5,1,5,5,5,4,2,4,1,5,5,5,2,5,2,4,4,5,5,6,5,2,3,4,4,4,4,3,4,1,2,4,4,5,3,3,3,4,2,4,1,3,5,2,2,2,2,2,2,2,2,3,3,2,3,2,1,5,3,3,5,3,5,2,15,39,43,23,34,34,52,25,198,48
0,0,1,0,0,0,0,1,0,0,4,4,4,2,3,6,4,2,2,4,2,4,3,3,3,3,2,5,4,3,2,4,6,5,2,2,2,1,5,5,4,3,3,3,2,3,4,4,3,4,3,4,6,3,5,2,2,4,1,1,2,3,4,5,4,2,4,2,4,2,4,4,1,2,1,3,2,2,2,3,1,3,3,3,3,1,4,3,2,4,1,3,2,16,35,43,18,22,28,51,26,172,42
0,1,1,0,0,0,0,1,0,0,2,6,6,6,6,5,6,3,5,3,3,5,5,2,3,3,3,3,6,3,2,6,3,3,3,3,3,3,4,5,5,3,6,3,3,3,3,6,2,5,3,1,4,5,3,3,3,3,3,3,2,2,2,6,2,2,4,5,3,3,6,6,4,2,2,2,4,4,3,4,3,4,5,3,1,4,2,4,2,2,4,3,3,28,28,65,21,34,40,42,35,223,48
0,1,1,0,0,0,0,1,0,0,5,6,6,4,2,5,3,2,5,1,1,6,2,2,5,4,1,2,5,5,1,5,5,2,3,3,2,1,5,6,1,1,5,6,1,1,6,3,4,4,2,1,3,1,1,5,1,1,1,1,1,1,6,2,2,1,6,1,1,1,4,6,2,1,2,1,5,5,2,1,4,6,1,1,1,1,4,1,1,5,1,5,1,9,27,38,8,32,25,48,29,159,25
0,0,1,0,0,0,0,1,0,0,4,4,3,3,4,5,3,5,4,4,4,3,5,5,5,3,4,4,5,4,2,5,5,4,4,4,4,3,4,4,3,3,5,6,1,3,4,3,3,5,2,3,4,5,4,4,5,4,1,3,3,3,4,5,3,3,4,5,3,3,5,4,2,3,2,4,3,3,3,3,3,3,3,3,3,2,4,2,3,4,3,3,3,20,41,56,26,31,34,44,33,221,55
0,1,1,0,0,0,0,1,0,0,4,3,4,4,5,5,3,3,4,4,5,3,4,3,5,1,4,4,4,4,3,4,4,4,4,3,3,4,3,4,5,3,4,3,4,4,3,4,4,3,4,2,4,6,4,3,1,4,4,4,3,4,3,4,3,4,4,1,3,3,2,3,3,3,2,4,3,3,4,4,3,3,4,3,4,4,2,5,5,2,5,3,4,34,37,47,24,27,45,40,37,217,53
0,1,1,0,0,0,0,1,0,0,5,4,5,3,5,3,2,3,3,2,5,5,5,3,5,2,4,3,4,5,1,3,5,5,3,5,3,2,2,4,5,2,3,2,4,5,5,6,5,2,3,4,3,4,6,2,4,3,1,3,4,2,3,4,5,2,3,2,5,1,4,4,2,3,4,2,4,2,5,2,4,4,4,4,3,2,1,5,5,4,4,2,5,32,48,48,30,24,27,39,38,215,53
0,1,1,0,0,0,0,1,0,0,2,2,4,2,4,5,1,3,4,1,5,5,3,2,4,1,5,2,2,2,1,4,6,6,1,1,2,1,5,5,6,2,3,2,1,4,5,4,2,3,1,2,1,1,2,1,2,1,1,1,3,1,5,2,2,1,1,1,1,1,1,5,1,2,2,2,5,1,2,2,6,6,2,6,2,1,2,5,5,5,3,4,4,25,22,27,24,24,14,41,36,147,26
0,1,1,0,0,0,0,1,0,0,4,5,6,2,5,5,2,2,5,1,5,6,2,4,5,4,4,4,4,4,1,5,6,6,4,4,4,1,6,5,4,4,5,3,1,4,6,4,2,5,1,4,6,3,4,2,3,4,1,6,2,1,6,3,3,1,3,3,2,1,2,6,1,2,2,1,3,1,1,1,1,3,1,4,1,3,3,4,4,4,4,4,2,24,35,45,27,35,18,58,19,179,50
0,1,1,0,0,0,0,1,0,0,3,2,5,4,4,5,1,6,5,2,4,4,3,2,4,2,4,3,1,1,2,4,4,3,1,2,3,1,4,5,4,2,4,3,1,4,4,2,2,3,2,2,3,3,1,1,1,3,4,1,1,2,5,3,2,1,3,1,1,1,1,5,3,2,2,3,4,4,3,3,4,4,2,4,2,2,2,4,5,4,3,2,4,28,23,26,21,28,26,42,35,159,31
0,1,1,0,0,0,0,1,0,0,5,2,4,4,5,2,2,5,4,1,5,5,5,4,4,5,4,2,2,4,2,4,4,4,2,4,4,1,4,3,1,3,4,3,5,4,5,3,4,4,4,4,4,3,4,4,3,3,1,3,4,4,4,3,4,5,4,3,4,1,3,5,3,4,5,2,5,3,3,2,3,4,3,3,2,4,4,4,4,4,2,4,1,21,45,35,29,28,40,42,35,212,54
0,1,1,0,1,0,0,0,0,0,2,3,2,4,4,4,4,4,4,4,3,3,4,4,4,5,5,5,1,3,3,3,2,2,4,4,5,2,2,6,1,1,1,3,3,4,4,5,2,1,2,2,1,3,1,3,3,3,3,3,4,4,4,4,4,3,3,3,3,4,4,6,5,1,3,4,2,5,5,3,6,4,3,4,1,4,4,5,5,4,4,4,2,26,32,42,22,20,45,37,40,201,44
0,1,1,0,0,0,0,1,0,0,3,2,3,4,4,4,3,2,5,1,3,4,4,3,4,3,4,3,4,4,2,4,4,3,3,3,3,2,4,4,4,4,4,4,3,4,4,3,4,4,3,3,3,3,4,3,3,3,2,2,3,3,4,3,3,3,4,3,3,2,3,4,3,3,3,3,4,4,3,3,4,4,3,3,3,1,4,4,2,4,4,4,2,19,36,41,24,27,34,40,37,199,48
0,1,1,0,0,0,0,1,0,0,6,5,5,3,4,5,2,2,4,1,4,6,6,4,5,3,6,4,6,6,4,6,5,6,5,5,5,1,6,5,6,2,5,5,5,5,5,4,2,3,3,4,5,4,5,3,1,5,1,6,6,4,6,5,5,2,4,5,5,2,5,5,2,2,2,1,3,1,1,2,2,2,1,3,2,1,2,4,5,2,5,5,5,29,48,64,26,33,34,57,20,225,61
0,1,1,0,0,0,0,1,0,0,4,5,2,5,5,5,1,4,3,2,5,5,2,3,4,5,5,4,5,4,2,3,4,4,5,3,3,2,4,3,2,4,4,2,4,4,3,4,4,3,5,2,3,4,4,5,4,3,2,2,4,5,4,4,4,5,3,2,4,3,4,4,3,4,2,2,3,3,3,4,4,4,3,4,3,4,2,5,5,3,5,4,5,33,42,42,29,22,48,42,35,218,54
0,1,1,0,0,0,0,1,0,0,3,4,5,1,4,6,2,4,4,1,4,5,4,2,4,2,3,1,4,2,1,3,6,1,1,1,2,1,6,5,4,2,3,5,1,2,4,3,2,1,1,1,2,1,1,1,1,1,1,2,2,1,5,2,2,1,5,2,2,1,3,5,1,2,1,2,6,6,1,3,5,6,2,2,2,1,5,2,1,5,2,2,1,13,23,37,17,22,14,41,36,149,24
