Age,Gender,Ethnicity,Race,Semestrs,Credits,Suspic,MEAQ01,MEAQ02,MEAQ03,MEAQ04,MEAQ05,MEAQ06,MEAQ07,MEAQ08,MEAQ09,MEAQ10,MEAQ11,MEAQ12,MEAQ13,MEAQ14,MEAQ15,MEAQ16,MEAQ17,MEAQ18,MEAQ19,MEAQ20,MEAQ21,MEAQ22,MEAQ23,MEAQ24,MEAQ25,MEAQ26,MEAQ27,MEAQ28,MEAQ29,MEAQ30,MEAQ31,MEAQ32,MEAQ33,MEAQ34,MEAQ35,MEAQ36,MEAQ37,MEAQ38,MEAQ39,MEAQ40,MEAQ41,MEAQ42,MEAQ43,MEAQ44,MEAQ45,MEAQ46,MEAQ47,MEAQ48,MEAQ49,MEAQ50,MEAQ51,MEAQ52,MEAQ53,MEAQ54,MEAQ55,MEAQ56,MEAQ57,MEAQ58,MEAQ59,MEAQ60,MEAQ61,MEAQ62,MEAQ23RV,MEAQ30RV,MEAQ6RV,MEAQ12RV,MEAQ18RV,MEAQ24RV,MEAQ29RV,MEAQ37RV,MEAQ43RV,MEAQ48RV,MEAQ53RV,MEAQ57RV,MEAQ62RV,EADEVAL,EABEHAV,EADISTRA,EAREPRES,EAPROCRA,EATOLERA,EATOLREV,MEAQTOT,MEAQBV
 ,1, ,2, , ,0,6,6,6,3,6,2,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,3,3,4,4,4,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,1,1,5,1,1,1,1,1,3,2,3,3,3,68,57,40,61,33,53,24,283,68
 ,0, ,1,2,13,0,6,5,3,5,5,5,3,2,5,1,6,6,6,2,5,5,6,6,5,5,1,3,6,6,4,1,2,1,6,6,6,2,2,4,1,4,5,6,5,4,1,1,6,6,4,5,2,4,1,3,4,2,6,6,4,1,6,3,4,1,5,6,1,1,2,1,1,1,1,2,1,3,1,1,1,62,39,24,26,25,62,15,191,40
21,0,0,1,4,59,0,2,3,4,2,4,6,1,2,3,3,4,6,5,2,3,5,3,6,3,3,3,4,6,6,3,2,2,1,4,3,6,3,3,2,1,4,4,4,6,3,1,3,6,4,4,4,3,4,1,3,5,2,6,4,4,2,6,3,5,1,3,6,1,4,1,1,1,1,3,3,1,3,1,1,1,44,38,22,27,25,60,17,173,45
19,1,0,1,2,16,0,3,4,4,2,5,5,3,2,5,1,6,5,4,2,5,4,5,4,3,5,2,5,5,3,5,2,5,4,5,5,6,6,5,4,2,5,4,3,2,4,2,4,5,4,2,4,5,4,1,3,2,4,5,4,2,2,4,4,2,1,6,5,2,2,2,2,3,4,2,3,2,3,2,3,2,53,30,33,31,32,49,28,207,53
24,0,0,1,6,13,0,4,3,4,4,4,5,1,2,3,2,5,6,3,2,2,4,5,5,2,1,1,4,6,6,4,2,2,1,5,5,5,2,5,1,1,4,4,5,2,2,2,2,5,4,4,4,1,4,1,1,2,2,6,3,3,1,5,1,2,1,2,6,1,2,2,1,2,1,2,3,2,3,1,2,1,35,26,22,25,23,57,20,151,38
21,0,0,1,6,13,0,3,4,4,4,4,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,4,3,3,4,3,3,3,2,2,2,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,4,4,4,4,3,3,3,2,3,3,3,4,4,4,4,4,4,4,5,4,3,4,3,5,3,4,3,5,3,3,44,36,24,45,27,37,40,216,51
18,1,0,1,0,16,0,4,2,4,3,4,4,3,2,4,2,3,5,4,3,4,2,4,3,3,4,4,4,5,3,4,3,5,2,5,3,4,3,4,3,5,4,2,2,2,4,2,3,5,3,5,2,3,2,2,5,2,1,3,2,2,2,4,2,2,2,3,3,2,4,3,2,4,4,2,5,2,5,4,3,4,40,32,29,31,25,39,38,195,49
19,0,0,1,3,4,0,4,4,3,2,3,2,4,3,4,4,4,4,4,4,4,4,4,5,5,4,3,4,5,4,3,3,4,5,5,4,4,4,4,4,4,3,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,6,6,2,3,5,3,2,3,2,3,2,3,4,3,1,55,43,27,47,25,46,31,228,58
18,0,0,3, ,15,0,6,3,5,2,2,4,2,1,6,1,2,5,6,2,6,2,4,4,2,2,1,6,6,6,4,3,2,1,6,6,6,3,6,2,6,2,5,4,5,6,1,2,4,3,4,1,2,4,1,3,4,1,6,5,1,1,6,2,6,1,2,6,1,1,3,2,3,1,1,2,3,3,1,1,1,44,37,37,20,15,56,21,174,42
20,0,0,1,4,12,0,5,5,6,4,6,5,6,3,3,4,6,5,2,3,3,2,4,4,5,5,4,3,5,4,3,3,3,2,2,3,5,4,3,3,1,5,4,6,3,4,3,4,4,3,3,3,3,4,2,2,2,1,2,5,4,2,3,4,3,2,4,2,2,4,2,2,3,3,5,3,3,3,5,4,5,53,38,25,32,32,39,38,218,50
