Age,Gender,Ethnicity,Race,Semestrs,Credits,Suspic,MEAQ01,MEAQ02,MEAQ03,MEAQ04,MEAQ05,MEAQ06,MEAQ07,MEAQ08,MEAQ09,MEAQ10,MEAQ11,MEAQ12,MEAQ13,MEAQ14,MEAQ15,MEAQ16,MEAQ17,MEAQ18,MEAQ19,MEAQ20,MEAQ21,MEAQ22,MEAQ23,MEAQ24,MEAQ25,MEAQ26,MEAQ27,MEAQ28,MEAQ29,MEAQ30,MEAQ31,MEAQ32,MEAQ33,MEAQ34,MEAQ35,MEAQ36,MEAQ37,MEAQ38,MEAQ39,MEAQ40,MEAQ41,MEAQ42,MEAQ43,MEAQ44,MEAQ45,MEAQ46,MEAQ47,MEAQ48,MEAQ49,MEAQ50,MEAQ51,MEAQ52,MEAQ53,MEAQ54,MEAQ55,MEAQ56,MEAQ57,MEAQ58,MEAQ59,MEAQ60,MEAQ61,MEAQ62,MEAQ23RV,MEAQ30RV,MEAQ6RV,MEAQ12RV,MEAQ18RV,MEAQ24RV,MEAQ29RV,MEAQ37RV,MEAQ43RV,MEAQ48RV,MEAQ53RV,MEAQ57RV,MEAQ62RV,EADEVAL,EABEHAV,EADISTRA,EAREPRES,EAPROCRA,EATOLERA,EATOLREV,MEAQTOT,MEAQBV
19,0,0,2, ,12,0,4,4,4,3,3,3,4,5,4,3,4,3,5,5,4,3,5,2,4,3,3,5,3,4,4,4,2,2,5,4,4,3,2,3,3,3,4,4,5,3,5,5,2,2,2,4,4,4,3,5,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,5,3,2,3,5,3,3,4,3,51,43,24,44,27,38,39,228,52
19,0,0,1,4,12,0,5,5,5,4,6,5,2,2,4,2,5,5,5,4,5,4,5,5,4,4,2,2,3,4,2,5,4,2,4,3,3,4,3,1,4,4,5,4,3,3,5,5,5,3,2,5,4,5,2,2,3,3,5,4,5,4,4,2,3,2,3,4,4,4,2,2,2,3,3,2,2,2,2,3,3,40,40,26,43,33,51,26,208,50
24,0,1,1,3,12,0,5,6,6,2,2,6,1,1,5,2,5,5,5,3,4,2,5,5,4,4,5,5,5,5,3,2,2,2,4,2,4,4,4,4,3,4,4,5,5,5,2,5,5,3,5,4,6,3,3,3,5,3,3,3,4,6,2,5,5,6,6,6,2,5,1,2,2,2,3,3,2,4,4,5,1,52,43,31,42,32,48,29,229,57
22,1,1,1,50,9,0,3,4,4,2,2,6,2,2,4,2,1,5,5,1,2,2,2,2,1,2,2,2,2,6,2,1,2,1,5,5,4,5,1,6,2,2,5,1,2,2,1,2,5,1,1,4,1,1,1,1,1,2,5,1,1,1,1,1,1,1,2,6,5,2,1,2,5,1,2,2,2,6,2,6,1,31,20,17,26,12,47,30,136,24
24,0,0,1,6,16,0,4,1,5,1,1,5,1,1,5,1,1,5,4,2,4,4,3,5,4,3,4,5,5,5,1,3,4,1,5,5,1,1,4,1,5,1,6,1,1,2,1,1,6,1,1,5,1,5,1,1,1,1,5,1,1,1,6,1,1,1,1,6,2,2,2,2,2,2,2,1,1,2,2,1,1,19,19,29,28,10,59,18,123,23
20,1,1,6,7,42,0,5,6,5,5,6,3,5,5,4,5,6,5,4,5,3,6,6,5,5,5,2,4,3,6,4,6,4,2,1,2,4,4,6,2,6,6,5,6,4,3,4,2,5,5,6,6,6,4,3,5,4,2,4,5,5,4,4,5,4,5,4,5,4,5,4,2,2,1,6,2,2,3,3,3,2,60,53,29,54,37,47,30,263,70
21,1,0,1,3,12,0,4,4,5,4,6,5,4,3,4,3,4,2,4,4,5,4,5,3,5,5,3,5,3,1,6,5,5,5,3,3,6,5,5,6,5,5,3,1,5,5,4,5,3,2,4,3,5,2,3,5,5,5,5,4,3,3,3,5,4,3,5,3,4,4,2,5,4,6,4,4,4,5,2,4,4,57,47,34,49,34,33,44,265,66
19,0,1,6,0,15,0,3,3,3,3,3,4,5,2,4,5,5,5,5,5,3,4,2,2,2,2,4,4,5,5,5,5,5,3,4,2,2,3,2,2,5,5,3,3,4,3,2,3,2,2,3,2,6,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,2,5,3,2,5,2,3,4,5,3,3,4,3,45,39,24,47,29,40,37,221,54
19,0,0,1,1,16,0,4,3,4,5,3,3,3,4,2,3,3,3,4,3,3,3,4,3,3,4,3,2,3,3,4,3,3,2,3,3,5,3,4,3,3,2,3,4,3,3,3,3,4,2,3,4,3,3,3,2,3,4,3,4,4,3,2,3,3,4,3,5,4,4,4,4,4,4,4,4,3,4,4,5,2,43,37,21,44,22,35,42,209,45
18,1,0,4,0,30,0,5,6,5,4,5,5,4,4,2,4,4,4,5,5,5,3,5,5,5,5,5,4,4,6,4,5,4,5,4,4,6,4,3,6,5,5,5,5,4,4,3,5,4,6,5,4,3,4,4,6,4,2,4,6,5,3,3,4,3,4,4,5,3,3,2,3,2,1,3,2,3,3,3,4,2,67,49,27,49,30,49,28,250,63
18,0,0,1,1,12,0,5,2,4,4,5,6,2,2,4,4,5,5,4,2,4,4,5,5,6,4,3,4,5,4,2,2,5,4,4,5,5,5,5,3,5,5,5,3,4,4,5,5,5,2,4,4,4,4,3,2,5,2,5,4,4,3,4,2,4,3,2,4,2,2,1,2,2,3,3,2,2,3,2,3,3,39,41,30,46,31,51,26,213,54
21,0,0,1, , ,0,6,6,6,5,6,6,6,1,2,5,6,2,6,5,6,1,6,2,6,5,1,6,6,2,6,3,5,5,1,1,6,6,5,1,4,6,2,5,5,3,5,5,2,6,6,1,2,1,4,6,6,1,2,6,6,5,1,6,5,2,6,2,1,6,1,5,5,5,6,5,5,6,5,6,5,72,54,33,40,37,23,54,290,83
24,0,0,1,120,15,0,1,1,1,1,3,5,1,1,1,1,2,1,1,1,1,1,1,4,2,1,1,3,3,4,1,1,1,1,4,4,4,1,1,2,1,1,3,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,4,1,1,1,1,5,4,3,2,6,3,3,3,4,6,4,3,3,2,20,11,9,16,12,38,39,107,17
28,0,0,1,10,12,0,3,6,5,4,6,4,5,4,5,3,5,4,3,3,5,2,2,3,5,5,3,5,3,4,6,4,5,2,4,4,5,3,5,6,4,5,5,4,5,3,2,2,4,4,4,3,4,4,3,3,4,3,4,5,4,2,5,4,3,2,5,3,4,3,3,3,4,3,3,2,3,3,3,2,4,61,42,33,37,27,44,33,233,54
23,0,0,1,8, ,0,2,3,5,3,5,5,3,2,4,2,3,5,4,3,4,2,5,4,4,2,3,4,5,3,4,3,3,2,4,4,3,3,4,4,2,4,4,3,4,3,2,3,4,3,2,4,4,4,2,3,3,4,5,4,3,2,4,3,3,1,4,5,2,3,2,2,3,4,3,3,3,3,2,3,2,45,30,27,31,27,47,30,190,45
18,0,0,6,0,16,0,3,3,4,4,4,5,2,3,4,4,5,5,5,4,4,4,4,5,5,4,2,4,4,6,3,4,4,2,5,4,5,3,4,4,4,5,5,4,3,4,3,5,5,4,4,4,4,4,3,2,4,3,5,4,3,4,4,2,3,3,5,5,3,3,2,2,2,1,2,2,2,3,2,3,2,48,38,28,43,30,54,23,210,52
23,1,0,2, , ,0,3,3,3,3,3,4,3,2,1,1,4,4,5,5,5,4,3,2,2,1,2,3,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,6,6,4,4,4,3,3,3,3,3,4,4,4,3,3,4,4,4,4,3,3,3,3,3,4,4,3,3,5,4,4,3,3,4,4,3,4,46,39,26,42,25,37,40,218,57
22,0,0,2, , ,0,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,5,4,3,3,2,2,2,2,3,4,4,4,4,5,6,4,4,3,3,3,3,2,1,1,1,3,4,4,3,3,3,4,3,5,3,3,4,6,42,36,23,43,25,36,41,210,45
19,1,0,1,2, ,0,5,2,4,4,6,5,2,2,5,2,5,4,4,3,4,4,6,5,3,4,3,4,2,5,3,4,3,4,3,2,6,3,4,2,5,5,4,5,4,5,4,5,4,5,4,5,4,4,1,3,3,3,5,4,2,5,3,3,3,4,5,4,5,5,2,3,2,2,4,3,3,3,2,4,3,47,37,29,49,36,46,31,229,57
21,0,0,1,6,13,0,3,6,1,1,1,4,2,4,4,1,1,6,6,2,4,1,1,4,4,2,1,6,6,6,6,6,1,1,4,6,6,3,4,2,6,1,6,6,1,4,1,1,6,6,1,1,1,6,1,4,1,1,6,3,1,1,6,3,1,1,3,6,1,1,3,1,3,1,3,1,1,1,1,1,1,57,25,24,18,7,60,17,148,38
21,0,0,6,4,13,0,5,5,4,3,4,4,2,2,4,4,4,4,5,2,5,2,4,4,5,4,4,4,4,5,3,4,4,2,3,3,5,4,4,3,4,4,4,3,3,4,3,3,4,3,3,4,3,4,3,3,3,3,4,4,3,2,4,2,3,2,2,4,3,4,3,3,3,2,4,3,3,3,3,3,3,45,36,29,39,26,44,33,208,47
19,0,0,1,2,15,0,5,4,5,3,5,5,2,2,6,2,5,5,3,2,5,5,5,5,5,2,1,5,5,5,3,4,4,1,5,5,3,3,5,2,4,4,5,3,4,4,4,3,4,3,4,4,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,5,5,5,36,32,34,34,29,45,32,197,45
23,1,1,6,8,9,0,3,1,3,1,3,5,1,1,3,1,6,6,1,1,4,2,2,2,3,1,1,4,6,5,1,1,1,1,4,4,2,1,4,1,1,2,5,1,1,4,1,1,4,2,4,1,1,4,1,1,1,1,5,4,2,1,5,1,1,1,2,4,1,3,2,1,5,2,3,2,3,3,2,2,3,21,17,23,14,18,49,28,121,25
24,0,0,1,2,0,0,4,5,5,4,4,4,3,3,4,4,4,3,4,4,4,2,4,4,3,4,2,3,3,4,4,4,5,2,5,4,5,4,5,3,4,3,4,5,5,4,3,3,4,4,5,5,3,4,3,3,4,2,4,4,5,3,3,4,5,4,6,4,4,3,3,4,3,3,2,3,3,3,3,4,3,53,47,30,42,24,43,34,230,57
20,0,0,1,4,12,0,4,1,4,4,4,3,2,3,4,3,5,3,3,3,3,2,5,3,5,3,2,5,4,3,2,2,4,3,3,4,3,4,4,5,5,5,4,2,4,5,5,4,3,4,4,4,3,2,2,4,4,3,3,4,4,2,4,2,4,4,2,4,3,3,4,4,4,4,4,3,4,5,4,3,3,39,39,29,42,29,35,42,220,55
18,0,0,1,0,15,0,6,6,6,4,6,5,5,5,4,1,6,4,5,6,6,1,2,1,6,1,1,6,1,2,3,6,1,1,2,2,6,4,4,5,1,3,2,2,3,3,4,6,5,5,5,1,5,1,1,2,5,2,5,5,6,1,2,2,5,1,6,3,6,5,2,3,6,5,5,5,2,6,2,5,4,58,52,30,25,33,32,45,243,56
19,1,1,6,0,6,0,3,2,4,4,3,3,2,4,3,3,3,3,4,2,3,3,3,4,3,3,2,3,4,4,3,2,3,3,3,3,2,3,3,4,3,3,2,3,3,4,4,5,5,4,3,4,4,3,3,3,3,4,2,3,3,4,3,4,5,4,4,3,3,4,4,4,3,3,4,5,2,4,5,4,4,41,34,23,44,25,35,42,209,53
18,0,0,6, ,16,0,4,6,4,2,6,4,4,1,3,4,6,4,6,4,5,3,6,4,4,4,3,5,4,3,3,4,3,6,3,1,5,2,3,4,6,6,2,4,3,4,3,4,3,5,4,2,6,4,2,3,3,3,4,5,3,3,4,3,2,4,6,6,3,6,3,3,3,4,4,5,4,3,3,3,1,58,34,27,44,40,41,36,239,52
23,0,0,1,7,16,0,5,5,2,2,2,4,1,2,4,1,4,4,3,3,4,2,2,2,2,2,2,2,5,2,2,2,2,2,4,4,3,3,3,3,2,2,4,2,3,2,2,2,2,2,3,2,3,2,3,2,3,2,2,2,2,3,2,2,2,2,3,2,2,3,3,3,5,5,3,3,5,5,5,5,5,32,30,19,27,18,30,47,173,36
23,0,0,4,10,9,0,5,1,2,2,2,6,3,2,2,1,4,5,4,2,5,4,4,5,5,5,1,4,6,4,3,1,4,1,5,5,3,1,4,1,2,2,6,1,3,3,1,4,4,1,2,2,1,4,1,1,2,2,3,4,2,1,6,1,3,1,2,6,1,2,1,2,2,3,2,1,3,3,4,1,1,30,28,24,20,19,54,23,144,32
19,0,0,1,2,16,0,6,2,5,3,4,4,2,4,5,1,2,5,4,4,5,2,2,3,3,4,1,6,5,6,3,2,2,1,5,5,4,4,5,3,1,1,6,3,3,5,2,3,4,2,5,2,2,3,1,2,4,3,4,3,5,2,4,1,4,1,2,5,2,2,3,2,4,1,2,1,3,4,3,3,2,34,45,33,22,16,49,28,178,42
20,1,0,1,4,12,0,4,2,2,4,5,6,4,1,2,1,5,5,4,3,4,5,5,5,4,3,2,3,4,5,5,2,5,2,5,4,2,3,2,4,4,4,5,5,5,4,3,4,5,5,3,4,3,4,2,3,4,5,5,4,2,3,4,2,2,2,3,4,3,3,1,2,2,2,2,2,2,3,2,3,3,47,32,22,40,29,53,24,194,49
19,0,0,1,2,20,0,5,3,3,4,4,3,2,3,4,2,6,4,2,4,4,5,5,5,4,3,4,4,4,4,2,4,3,2,4,3,5,2,4,2,4,5,5,4,2,4,4,2,3,2,4,4,2,6,2,4,5,4,3,3,4,4,3,2,3,2,4,5,3,4,4,3,2,3,3,2,4,1,4,4,2,39,39,26,44,28,45,32,208,48
19,0,0,1,6,13,0,4,2,4,4,4,4,2,2,4,1,4,5,3,3,4,1,2,4,5,4,1,4,5,5,4,4,3,1,5,4,2,4,4,4,1,2,5,4,2,3,3,2,4,3,3,1,1,4,1,1,2,4,5,3,3,1,5,2,3,1,3,6,2,3,3,2,3,2,2,2,3,3,2,2,1,38,34,26,22,18,52,25,163,40
19,1,1,2,3,15,0,4,6,3,1,4,6,4,1,5,1,1,4,1,4,2,1,6,4,4,3,1,4,5,6,4,1,3,1,6,6,5,1,2,3,5,6,4,2,2,3,1,4,5,3,3,1,4,5,1,1,2,1,5,2,1,1,5,2,2,1,5,6,2,1,1,3,3,1,1,3,2,2,2,2,1,42,24,22,18,26,56,21,153,38
21,0,0,1,7,16,0,6,6,6,3,6,6,2,1,6,1,6,6,6,6,6,1,6,1,6,6,1,6,4,1,6,6,6,1,1,3,6,5,6,6,3,6,1,4,4,6,1,1,5,4,4,1,1,1,1,6,6,2,4,6,6,1,4,6,6,1,6,1,3,4,1,1,6,6,6,6,2,6,3,3,6,70,56,42,20,30,31,46,264,70
23,0,0,2,7,12,0,5,2,2,2,4,5,1,1,4,2,4,5,3,2,4,6,4,4,3,4,1,4,6,5,1,1,3,1,5,4,3,1,3,4,1,5,5,4,2,2,1,1,5,2,3,1,2,4,1,1,2,1,5,3,2,1,5,1,2,1,4,6,1,3,2,2,3,2,2,2,2,3,2,2,1,32,25,22,20,23,54,23,145,29
21,0,0,2,6,17,0,5,5,5,4,4,4,3,4,4,2,3,4,4,4,4,4,3,3,4,5,5,4,3,4,5,5,5,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,4,3,4,4,4,4,4,4,4,3,4,5,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,52,47,29,49,24,43,34,235,58
18,0,0,1, ,16,0,3,1,2,4,6,6,1,2,3,5,4,3,4,2,3,6,6,5,4,3,2,2,2,6,2,1,4,1,2,3,2,4,2,1,5,4,3,2,2,3,5,3,5,3,3,5,5,5,2,3,2,1,5,2,2,4,6,1,2,4,2,3,5,4,1,4,2,1,5,4,2,2,2,1,4,28,26,19,49,32,49,28,182,47
26,1,0,1,3,18,0,6,6,1,4,5,5,5,5,1,3,5,4,5,4,3,1,6,2,5,4,2,1,4,4,5,6,4,5,4,3,5,4,2,5,3,5,4,6,5,2,4,5,4,6,4,1,4,4,4,5,4,1,4,6,6,4,4,5,5,5,6,4,3,4,2,3,5,3,3,3,3,3,3,3,3,70,53,14,40,34,43,34,245,65
22,1,1,6,4,15,0,4,6,6,5,5,5,6,4,5,5,4,5,5,3,6,1,5,5,6,5,3,6,4,4,6,2,5,4,4,5,6,4,6,6,3,4,4,6,3,5,4,3,4,6,4,4,4,4,4,5,4,3,5,6,4,5,4,4,4,3,6,4,3,2,2,2,2,3,3,3,3,3,2,3,3,74,41,39,47,27,48,29,257,66
19,0,1,6,3,18,0,6,5,4,2,6,5,1,1,2,1,6,6,4,2,3,4,2,6,1,2,2,3,3,5,2,2,1,1,6,4,3,1,2,1,3,4,5,4,3,3,3,2,5,1,1,3,2,3,2,1,4,4,5,4,4,3,5,1,2,1,5,6,4,3,2,1,1,2,1,2,2,4,2,2,1,33,28,18,33,25,57,20,157,27
18,0, ,2, ,12,0,3,2,3,3,2,3,4,3,2,4,3,4,4,3,5,2,3,3,2,4,2,3,1,5,6,4,3,5,3,2,3,1,2,1,3,3,3,2,4,3,4,3,3,5,3,6,3,2,3,3,5,2,3,1,4,5,3,2,4,3,2,3,6,5,4,3,4,2,4,4,4,5,4,4,4,37,38,21,48,22,35,42,208,51
28,0,1,1,5,16,0,4,6,5,4,5,6,1,2,5,1,4,5,5,1,5,1,5,4,3,3,2,5,6,6,3,3,4,2,3,3,5,3,5,3,1,4,4,4,4,4,2,2,5,1,2,2,1,6,1,2,3,6,5,3,3,1,3,1,3,1,1,4,1,4,1,2,3,1,4,3,2,1,2,4,3,38,31,33,25,25,51,26,178,38
18,0,0,1, ,12,0,5,5,5,4,4,4,4,4,4,4,4,4,5,5,4,4,4,3,4,4,4,4,4,4,4,5,5,5,5,5,5,4,3,4,4,5,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,3,4,3,2,3,2,3,3,3,3,56,48,29,53,28,45,32,246,64
19,0, ,1,2,15,0,5,4,5,3,5,6,3,4,6,1,5,5,4,3,6,5,6,5,5,5,2,5,6,5,4,4,4,1,4,4,5,5,6,4,1,5,5,6,4,5,2,4,5,5,5,5,6,5,1,4,5,2,4,5,4,2,4,5,5,1,5,4,1,3,1,2,2,2,3,2,2,2,3,3,3,59,49,37,27,34,52,25,231,62
22,0,0,1,9,6,0,2,1,1,3,4,4,1,2,4,1,1,5,4,2,2,1,2,5,2,2,2,2,5,5,2,2,2,1,5,5,4,2,2,2,2,2,5,3,2,2,2,2,5,2,2,2,2,4,2,2,2,2,5,2,2,2,5,2,2,2,2,5,2,2,3,2,2,2,2,2,2,3,2,2,2,29,22,15,24,15,53,24,129,30
23,1,0,1,5,11,0,4,3,5,4,5,6,2,1,5,2,3,4,3,2,2,3,3,4,2,4,2,5,5,3,5,2,3,2,5,4,3,2,2,4,2,2,5,2,3,4,2,3,5,1,3,2,2,3,1,3,2,2,2,3,2,3,2,1,2,2,2,5,2,3,1,3,3,4,2,2,2,4,5,5,2,34,27,26,29,21,44,33,170,36
20,0,0,1, ,5,0,5,1,4,3,6,6,1,5,4,2,4,5,1,5,4,1,4,2,4,4,1,4,6,6,1,4,5,1,5,6,1,2,4,5,4,5,5,5,5,4,2,3,4,1,5,4,2,1,1,4,4,1,6,1,5,1,4,1,4,1,1,6,1,1,1,2,5,1,2,2,3,6,1,3,1,27,48,29,23,25,50,27,179,45
 ,0,0,1,6,15,0,2,6,4,3,4,5,3,3,4,3,4,3,4,2,2,2,6,5,4,3,3,2,4,6,2,1,4,3,4,3,5,3,5,3,3,4,4,2,2,3,2,1,5,4,3,2,2,4,2,4,2,2,5,3,2,2,4,1,2,2,1,5,3,4,2,4,2,1,3,3,2,3,2,3,2,42,25,24,32,25,50,27,175,42
22,0,0,1,6,12,0,5,2,5,5,5,5,1,1,5,3,5,2,4,2,5,1,5,4,4,4,4,6,3,5,4,1,6,2,3,2,1,3,6,1,4,4,2,4,6,6,5,3,2,1,3,3,3,4,4,2,5,2,5,1,4,4,4,1,5,3,2,4,4,5,2,5,3,2,4,5,5,3,2,3,3,28,39,39,44,30,40,37,217,53
20,1,0,6,6,88,0,4,2,3,2,2,6,1,3,5,4,4,6,4,5,5,3,5,6,4,4,2,4,4,6,3,6,3,3,4,4,4,3,5,3,6,5,6,6,4,3,2,3,5,3,4,3,5,4,2,4,4,3,5,3,5,3,5,2,4,2,2,4,3,3,1,1,1,1,3,1,2,3,2,2,3,41,46,28,38,27,57,20,200,52
18,0,0,1, ,15,0,5,3,2,4,4,4,4,2,4,3,3,5,5,3,5,4,3,4,4,4,3,4,5,4,4,4,4,2,4,5,4,4,4,3,3,3,4,4,4,4,2,3,4,4,4,3,4,4,2,4,3,4,4,3,3,4,3,2,4,3,3,3,2,2,3,2,3,3,3,3,3,3,3,4,4,47,40,27,39,22,43,34,209,52
18,0,0,2,0,15,0,6,4,2,5,3,4,2,1,2,2,2,4,3,4,2,3,3,3,3,5,2,2,4,3,3,5,5,3,2,4,4,4,5,4,2,5,4,3,4,3,3,5,2,2,3,3,5,5,1,3,3,4,2,5,4,2,2,3,5,1,3,3,3,3,3,3,4,4,5,3,5,2,5,5,4,42,44,21,34,26,34,43,210,57
19,0,0,1,3,16,0,4,5,6,1,2,6,2,3,6,1,2,2,2,2,6,6,5,5,6,5,1,6,6,6,6,3,6,1,5,5,3,2,6,1,1,3,5,3,5,6,1,1,5,3,4,6,1,6,1,1,3,1,6,6,3,1,6,2,3,1,6,6,1,2,1,5,2,1,2,2,2,1,1,1,1,46,37,42,23,16,58,19,183,43
18,0,1,6,0,15,0,5,6,4,5,5,5,2,2,3,5,5,5,5,2,5,6,2,5,2,3,5,5,1,5,4,3,4,2,5,5,5,4,5,2,6,2,5,4,5,4,5,2,5,5,3,6,2,5,5,2,4,5,5,3,4,6,5,2,4,6,5,5,6,2,2,2,2,2,2,2,2,2,2,2,2,47,39,30,68,20,55,22,226,52
19,0,0,1,5,12,0,4,5,4,5,5,6,2,3,4,3,5,4,6,4,4,3,5,5,4,4,5,4,5,5,3,4,4,3,3,4,6,3,4,3,1,3,3,4,4,3,3,3,4,3,3,2,4,3,1,1,5,3,4,4,3,2,2,3,5,1,6,4,2,3,1,3,2,2,4,4,3,4,3,5,3,50,42,27,34,28,43,34,215,48
20,0,0,1,1.5,15,0,4,4,4,5,4,5,4,2,3,4,3,4,4,4,3,5,5,5,4,4,5,4,3,4,3,4,5,3,4,4,2,4,4,5,3,4,4,3,5,5,4,4,3,4,2,4,3,3,4,5,4,4,3,3,4,6,3,5,3,4,4,4,4,3,2,3,2,3,3,3,4,4,4,4,3,50,40,28,55,26,42,35,234,60
22,0,0,1,6,15,0,5,6,4,3,6,4,6,4,3,5,6,2,5,5,4,2,6,4,6,4,2,4,6,6,6,5,4,5,2,1,6,5,4,6,3,6,3,6,4,2,2,6,4,6,6,2,6,4,2,5,5,3,2,6,6,2,3,6,5,4,6,3,1,6,3,5,3,1,5,4,3,3,5,4,4,76,54,25,36,42,37,40,273,73
19,0,0,1,2,17,0,2,1,5,5,5,5,2,2,4,2,2,6,3,2,4,2,4,5,5,5,3,5,5,5,3,4,4,2,5,4,4,2,5,3,3,5,5,2,5,4,3,3,5,3,4,6,3,4,2,3,4,2,5,3,3,3,5,1,4,3,3,6,2,3,2,1,2,2,2,2,2,3,2,2,1,36,37,31,38,25,56,21,188,47
18,0,1,6,0,15,0,5,4,5,5,5,6,1,2,4,3,4,5,3,3,3,2,4,3,3,4,2,2,6,4,3,1,2,3,5,5,4,1,4,1,4,4,4,3,5,5,1,3,4,2,4,2,1,3,1,2,5,1,4,4,4,1,3,1,5,1,2,5,1,2,1,2,4,3,2,3,3,4,3,4,2,33,39,25,27,23,46,31,178,38
18,1,0,1,0,12,0,5,5,4,5,6,5,5,5,4,4,4,5,6,6,5,5,5,6,4,4,4,5,5,5,6,5,3,3,3,4,5,5,5,5,6,4,4,4,5,5,5,5,4,3,3,3,4,5,6,5,5,5,4,4,4,5,5,6,5,5,4,4,2,3,2,2,1,2,4,3,3,2,3,2,3,62,52,31,58,31,50,27,261,70
18,0,0,1,1,15,0,6,3,4,4,5,4,4,4,5,2,3,5,5,6,5,1,2,3,4,6,2,5,6,5,4,4,5,2,4,3,4,3,5,5,1,5,4,4,3,3,2,3,4,4,5,1,3,4,1,3,3,2,4,4,3,1,4,4,3,1,4,4,1,4,3,2,4,2,3,3,3,3,3,3,3,52,46,32,21,25,45,32,208,56
23,0,0,1, , ,0,5,4,5,1,1,4,3,1,5,1,1,5,5,1,5,1,5,1,4,1,1,5,5,1,2,2,4,1,4,5,4,5,5,5,1,1,5,1,1,5,1,1,5,4,3,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,5,2,2,3,2,6,6,3,2,2,6,2,2,2,36,22,34,14,12,41,36,154,34
25,1,1,6,1,15,0,4,5,5,5,5,4,4,4,5,3,5,4,4,4,5,5,5,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,3,4,4,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,4,3,3,3,3,4,3,2,3,2,3,3,2,56,47,30,55,30,46,31,249,61
20,0,0,2,4,16,0,6,2,5,4,4,4,2,4,4,3,5,5,2,5,5,6,4,4,2,4,1,4,3,5,3,2,4,2,5,3,4,2,4,2,6,6,5,1,5,4,3,3,4,3,4,4,4,2,3,3,4,2,4,2,4,4,4,2,5,3,2,6,4,4,3,2,3,2,2,2,3,5,3,3,1,30,45,30,45,30,48,29,209,53
23,0,0,1, , ,0,2,3,4,1,4,4,1,1,6,1,1,6,6,1,5,3,1,3,3,1,1,5,5,3,2,2,3,1,5,4,4,2,4,5,1,1,5,3,5,4,1,1,1,1,1,1,1,4,1,1,1,1,5,1,1,1,5,1,1,1,2,5,2,3,3,1,4,4,2,2,6,3,2,2,2,33,18,31,16,12,46,31,141,23
18,0,0,1,0,12,0,5,5,5,4,4,5,3,2,5,1,4,3,4,3,5,1,3,3,3,3,1,5,4,2,2,3,3,1,1,4,3,3,5,3,1,4,4,4,3,5,2,1,4,3,3,1,3,2,1,3,3,3,4,3,3,1,4,3,3,1,5,4,3,3,2,4,4,5,6,3,3,5,3,3,3,44,34,33,21,22,36,41,195,45
18,0,0,4,2,15,0,4,3,4,3,4,4,4,3,4,4,3,4,4,3,3,4,3,4,4,4,3,3,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,3,3,4,4,3,3,3,4,4,4,3,4,3,4,3,4,3,4,3,4,3,3,3,3,3,3,3,3,4,4,4,4,3,48,38,25,48,24,40,37,220,54
21,0,1,6,1,12,0,3,4,2,3,3,4,4,4,4,2,3,3,2,1,1,1,6,6,6,3,3,4,4,5,4,4,4,2,2,3,4,4,4,5,5,6,1,3,3,3,3,4,4,4,2,3,3,4,4,4,2,2,3,3,3,4,5,2,2,3,4,4,3,4,3,4,1,2,5,6,3,3,4,2,3,49,31,22,38,29,41,36,205,53
18,0,0,1,0,15,0,2,3,4,4,5,5,2,3,3,2,4,3,6,5,5,6,4,5,5,5,5,4,4,6,3,5,4,1,5,3,6,3,4,3,5,5,1,4,3,3,4,3,4,5,5,5,4,5,1,3,3,2,4,5,4,4,2,1,4,5,5,5,3,4,2,4,2,1,2,6,3,2,3,5,2,51,42,27,47,29,45,32,228,55
18,1,0,1,0,16,0,4,2,4,3,5,3,1,2,4,4,5,5,5,3,5,3,5,5,3,4,2,4,5,5,2,3,4,4,3,5,4,4,4,2,3,5,4,6,3,3,2,3,5,5,4,2,4,4,2,2,3,2,4,3,4,3,3,2,3,5,3,5,2,2,4,2,2,2,4,3,2,3,3,4,2,40,37,28,37,29,46,31,202,50
19,1,0,1,1,15,0,1,6,1,6,6,1,5,1,1,6,6,1,1,1,6,1,6,5,1,1,1,6,1,6,6,1,1,6,6,1,6,1,6,1,6,6,4,6,5,2,6,6,5,4,3,1,4,6,4,6,5,6,4,5,1,5,2,1,4,6,5,4,6,6,6,6,2,1,1,3,2,1,3,5,3,53,24,23,60,40,44,33,233,57
