Dur_Sec,Dur_min,Fin,Age,Gender,R_AI_AN,R_Asian,R_Black,R_NH,R_White,R_Multi,R_HisLat,R_other,R_Ot_Txt,USNative,Eduction,NatLang,NatLangO,Emplmnt,Occupation,Income,PsyDis,PsyDCurr,PsyDPast,PsyDboth,CAQ_1,CAQ_2,CAQ_3,CAQ_4,CAQ_5,CAQ_6,CAQ_7,CAQ_8,CAQ_9,CAQ_10,CAQ_11,CAQ_12,CAQ_13,CAQ_14,CAQ_15,FC1,CAQ_16,CAQ_17,CAQ_18,BFI_1,BFI_2,BFI_3,BFI_4,BFI_5,BFI_6,BFI_7,BFI_8,BFI_9,BFI_10,BFI_11,BFI_12,BFI_13,BFI_14,BFI_15,BFI_16,BFI_17,BFI_18,BFI_19,BFI_20,BFI_21,BFI_22,BFI_23,BFI_24,BFI_25,BFI_26,BFI_27,BFI_28,BFI_29,BFI_30,BFI_31,BFI_32,BFI_33,BFI_34,BFI_35,BFI_36,BFI_37,BFI_38,BFI_39,BFI_40,BFI_41,BFI_42,BFI_43,BFI_44,BFI_45,BFI_46,BFI_47,BFI_48,BFI_49,BFI_50,BFI_51,BFI_52,BFI_53,BFI_54,BFI_55,BFI_56,BFI_57,BFI_58,BFI_59,BFI_60,FFMQ_1,FFMQ_2,FFMQ_3,FFMQ_4,FFMQ_5,FFMQ_6,FFMQ_7,FFMQ_8,FFMQ_9,FFMQ_10,FFMQ_11,FFMQ_12,FFMQ_13,FFMQ_14,FFMQ_15,FFMQ_16,FFMQ_17,FFMQ_18,FFMQ_19,FFMQ_20,FFMQ_21,FFMQ_22,FFMQ_23,FFMQ_24,FFMQ_25,FFMQ_26,FFMQ_27,FFMQ_28,FFMQ_29,FC2,FFMQ_30,FFMQ_31,FFMQ_32,FFMQ_33,FFMQ_34,FFMQ_35,FFMQ_36,FFMQ_37,FFMQ_38,FFMQ_39,CA_1,CA_2,CA_3,CA_4,CA_5,CA_6,CA_7,CA_8,CA_9,CA_10,CA_11,CA_12,CA_13,CA_14,CA_15,CA_16,CA_17,CA_18,CA_19,CA_20,CA_21,CA_22,CA_23,CA_24,CA_25,CA_26,CA_27,CA_28,CA_29,CA_30,CA_31,CA_32,CA_33,CA_34,CA_35,CA_36,CA_37,CA_38,CA_39,CA_40,CA_41,CA_42,CA_43,CA_44,CA_45,CA_46,CA_47,CA_48,CA_49,CA_50,CA_51,CA_52,CA_53,CA_54,CA_55,CA_56,CA_57,CA_58,CA_59,CA_60,CA_61,CA_62,CA_63,CA_64,CA_65,CA_66,CA_67,CA_68,CA_69,CA_70,CA_71,CA_72,CA_73,CA_74,CA_75,CA_76,CA_77,CA_78,CA_79,CA_80,CA_81,CA_82,CA_83,CA_84,CA_85,CA_86,CA_87,CA_88,CA_89,CA_90,CA_91,CA_92,CA_93,CA_94,CA_95,CA_96,CA_97,CA_98,CA_99,CA_100,CA_101,CA_102,CA_103,CA_104,CA_105,CA_106,CA_107,CA_108,CA_109,CA_110,CA_111,CA_112,CA_113,CA_114,CA_115,CA_116,CA_117,CA_118,CA_119,CA_120,CA_121,CA_122,CA_123,CA_124,CA_125,CA_126,CA_127,CA_128,CA_129,CA_130,CA_131,CA_132,CA_133,CA_134,FC3,CA_135,CA_136,CA_137,CA_138,CA_139,CA_140,CA_141,CA_142,CA_143,CA_144,CA_145,CA_146,CA_147,CA_148,CA_149,CA_150,CA_151,CA_152,CA_153,CA_154,CA_155,CA_156,CA_157,CA_158,CA_159,CA_160,CA_161,CA_162,CA_163,CA_164,CA_165,CA_166,CA_167,CA_168,CA_169,CA_170,CA_171,CA_172,CA_173,CA_174,MEAQ_1,MEAQ_2,MEAQ_3,MEAQ_4,MEAQ_5,MEAQ_6,MEAQ_7,MEAQ_8,MEAQ_9,MEAQ_10,MEAQ_11,MEAQ_12,MEAQ_13,MEAQ_14,MEAQ_15,MEAQ_16,MEAQ_17,MEAQ_18,MEAQ_19,MEAQ_20,MEAQ_21,MEAQ_22,MEAQ_23,MEAQ_24,MEAQ_25,MEAQ_26,MEAQ_27,MEAQ_28,MEAQ_29,MEAQ_30,MEAQ_31,MEAQ_32,MEAQ_33,MEAQ_34,MEAQ_35,MEAQ_36,MEAQ_37,MEAQ_38,MEAQ_39,MEAQ_40,MEAQ_41,MEAQ_42,MEAQ_43,MEAQ_44,MEAQ_45,MEAQ_46,MEAQ_47,MEAQ_48,MEAQ_49,MEAQ_50,MEAQ_51,MEAQ_52,MEAQ_53,MEAQ_54,MEAQ_55,MEAQ_56,MEAQ_57,MEAQ_58,MEAQ_59,MEAQ_60,MEAQ_61,MEAQ_62,FCheck1,FCheck2,FCheck3,FCheckPass,Time_Fast,Flagged,RBFI_11,RBFI_16,RBFI_26,RBFI_31,RBFI_36,RBFI_51,RBFI_12,RBFI_17,RBFI_22,RBFI_37,RBFI_42,RBFI_47,RBFI_3,RBFI_8,RBFI_23,RBFI_28,RBFI_48,RBFI_58,RBFI_4,RBFI_9,RBFI_24,RBFI_29,RBFI_44,RBFI_49,RBFI_5,RBFI_25,RBFI_30,RBFI_45,RBFI_50,RBFI_55,Extraversion,Agreeableness,Conscientiousness,Negative_Emotionality,Open_Mindedness,RFFMQ_12,RFFMQ_16,RFFMQ_22,RFFMQ_5,RFFMQ_8,RFFMQ_13,RFFMQ_18,RFFMQ_23,RFFMQ_28,RFFMQ_34,RFFMQ_38,RFFMQ_3,RFFMQ_10,RFFMQ_14,RFFMQ_17,RFFMQ_25,RFFMQ_30,RFFMQ_35,RFFMQ_39,FFMQ_Obs,FFMQ_Des,FFMQ_AWA,FFMQ_NonJ,FFMQ_NonR,RCA_5,RCA_9,RCA_13,RCA_15,RCA_19,RCA_30,RCA_32,RCA_37,RCA_38,RCA_41,RCA_42,RCA_47,RCA_49,RCA_53,RCA_59,RCA_61,RCA_63,RCA_67,RCA_69,RCA_71,RCA_72,RCA_74,RCA_82,RCA_85,RCA_93,RCA_97,RCA_98,RCA_101,RCA_102,RCA_106,RCA_108,RCA_111,RCA_115,RCA_118,RCA_123,RCA_126,RCA_127,RCA_128,RCA_130,RCA_133,RCA_137,RCA_140,RCA_146,RCA_149,RCA_150,RCA_153,RCA_155,RCA_157,RCA_160,RCA_161,RCA_170,CA_pers,CA_flex,CA_purp,CA_TkAct,CA_imm,CA_Fthru,CA_engag,CA_comm,CA_invst,CA_motvn,CA_reslv,CA_choos,CA_NonR,CA_Will,CA_decis,CA_scaff,RMEAQ_30,RMEAQ_23,MEAQ_BA,MEAQ_DA,MEAQ_Pro,MEAQ_DnS,MEAQ_RnD,MEAQ_DE,MEAQ_Tot,RCAQ_5,RCAQ_8,RCAQ_9,RCAQ_10,RCAQ_11,RCAQ_14,RCAQ_16,RCAQ_17,RCAQ_18,CAQ_tot,FAC1_1,FAC2_1,FAC3_1,FAC4_1,FAC5_1,FAC1_2,FAC2_2,FAC3_2,FAC4_2,FAC5_2
1323,22.05,1,19,2, , , , ,1, , , , ,2,3,1, ,1,undergraduate researcher in biology lab,6,4, , , ,5,5,5,5,4,3,3,4,5,5,5,4,5,5,4,3,4,4,4,5,4,2,2,1,4,4,4,2,2,2,4,4,4,2,2,2,4,5,5,4,4,4,4,2,2,2,4,2,4,2,4,4,5,5,1,4,5,4,4,4,4,4,2,4,5,5,2,2,2,4,4,2,4,2,4,2,5,4,2,2,4,5,2,4,2,4,3,2,5,2,2,4,4,2,2,4,3,2,2,2,2,2,2,4,3,3,3,2,4,4,2,3,1,3,4,4,3,3,4,2,5,4,4,4,2,4,5,4,2,4,4,4,4,4,2,5,4,4,2,4,4,2,4,4,4,2,5,5,5,5,5,4,2,2,2,2,4,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,5,4,2,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,2,2,2,4,4,4,4,2,5,4,4,5,4,4,4,4,2,4,2,4,2,2,4,2,4,4,4,4,4,4,2,2,2,4,2,4,4,5,4,2,2,5,2,4,5,4,4,4,4,4,2,2,2,4,4,2,4,4,4,4,2,1,4,4,4,2,4,4,4,4,2,2,4,4,4,2,5,2,2,2,4,2,4,2,4,2,2,4,4,2,2,2,2,2,2,4,4,4,4,2,4,4,5,5,6,6,6,5,5,4,5,6,5,3,5,5,5,3,4,4,6,6,4,4,3,5,6,3,5,5,3,4,5,3,5,3,5,5,4,6,5,4,4,3,3,5,6,3,2,5,3,5,5,5,5,6,3,3,4,4,4,4,3,4,1,1,1,3,1, ,4,4,4,4,5,2,2,4,2,2,2,1,4,2,2,2,4,1,4,4,2,4,4,4,5,4,2,2,4,4,49,33,38,48,41,4,4,4,2,3,2,3,4,3,3,3,1,1,2,2,2,2,2,2,19,29,23,14,13,2,2,2,2,2,1,1,4,2,4,2,2,2,2,2,2,2,2,2,2,2,4,1,1,2,4,2,2,2,4,4,1,1,1,2,4,2,2,2,2,2,2,2,1,4,2,2,2,2,2,2,50,40,38,26,30,25,28,26,34,35,29,39,28,23,17,36,3,4,49,64,28,34,55,45,262,4,4,3,3,3,3,4,4,4,71,-1.9123631216756,-.224857216755318,-1.35675070815908,-1.74927235988816,1.91239143887933,1.37521616711809,1.61035742172407,1.37069485087875,1.53856595764671,1.52840494904117
1986,33.1,1,22,2, ,1, , , ,1,1, , ,1,5,1, ,2, ,6,4, , , ,7,7,7,2,2,5,7,1,1,1,3,1,7,1,1,3,1,1,1,5,5,5,5,5,1,5,1,5,3,1,1,5,1,1,1,1,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,5,1,4,1,1,1,1, , , , , , , , ,1,1,1,1,1,1,1,1,1,1,2,3,4,4,1,1,1,1,1,1,1,5,1,1,4,1,5,1,1,5,5,3,1,4,1,5,1,5,1,1,4,1,1,1,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,1,4,1,3,5,1,6,2,1,2,5,5,4,2,1,2,4,1,3,1,3,5,5,1,2,2,1,1,5,1,1,2,5,1,1,5,1,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1, ,5,5,3,3,3,3,5,5,3,3,3,3,1,5,3,3,3,3,1,1,3,3,3,3,1,3,3,3,3,3,40,44,40,30,32, , ,5,5,5, ,5,5,3,5,5,5, , ,5,5,5,5,5, , , , , ,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,48,40,35,30,26,37,32,34,31,30,30,30,38,25,31,31,2,2,31,21,12,18,14,30,143,6,7,7,7,5,7,7,7,7,104,-.917012538162824,-1.60542241370369,-1.45895783715095,-1.99208823634046,-.879758773916326,1.13558088429779,.323387301943681,.0113472623653365,-1.05482904886466,.394062406914778
1537,25.6166666666667,1,20,1, , , , ,1, , , , ,1,3,1, ,1,Research Assistant,1,4, , , ,5,5,5,5,3,5,5,1,4,1,4,5,5,1,5,3,3,4,1,1,4,4,3,1,2,5,2,4,5,1,3,4,3,4,5,1,4,4,5,3,2,2,2,1,3,5,2,1,1,5,4,2,4,5,4,1,4,4,5,3,2,4,4,1,1,1,1,1,1,5,5,5,4,1,4,4,2,4,4,3,4,5,4,3,3,5,3,2,4,3,1,3,4,3,1,4,3,4,3,4,1,2,3,4,4,5,3,3,4,4,4,4,3,3,2,5,5,3,4,4,5,4,4,4,4,4,4,4,5,5,5,1,4,2,4,4,5,4,3,4,4,2,4,4,4,4,4,5,4,5,2,4,4,4,4,1,2,4,4,1,2,2,4,4,2,2,4,2,4,4,4,2,4,4,4,4,4,2,4,3,4,4,4,4,4,2,4,2,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,2,4,3,3,2,4,4,4,4,2,4,2,4,3,4,4,4,4,2,4,4,2,4,4,4,4,2,4,4,2,2,2,4,2,5,4,2,4,1,4,4,2,4,4,2,4,4,4,4,4,2,3,4,4,2,4,4,2,4,2,4,2,4,4,5,2,4,4,4,4,4,2,4,4,4,4,4,4,4,3,1,4,1,3,4,1,3,5,3,4,4,3,3,4,2,3,4,4,3,1,4,6,4,3,4,4,1,4,3,3,3,4,1,3,3,4,1,3,4,1,3,4,3,3,1,2,4,1,2,2,1,4,3,3,1,4,1,3,1,2,4,1,1,1,3,1, ,5,1,3,1,2,1,3,5,4,5,4,5,2,4,4,4,5,4,3,2,4,5,2,5,5,5,5,5,5,5,27,53,46,44,58,5,5,5,3,3,3,3,4,3,3,3,1,2,2,2,2,2,4,2,28,38,25,17,23,2,2,5,4,2,2,4,5,4,5,4,4,4,4,4,3,2,4,4,4,2,4,2,4,4,4,2,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,1,4,2,67,53,44,37,36,44,40,40,45,41,32,41,33,37,20,44,4,1,33,28,22,29,18,44,163,5,7,4,7,4,7,5,4,7,95,-.224467333217429,.091041744395592,.104766141552325,-.183998302312712,.295574906793203,-.0577756469782587,-.50232585544021,.407910649561457,.750900390945033,-.628007399879833
2847,47.45,1,20,1, , , , ,1, , , , ,1,3,1, ,2, ,6,4, , , ,6,6,6,6,1,5,5,1,4,4,4,5,5,3,5,3,3,1,3,1,5,4,5,4,1,5,4,5,4,2,2,5,1,3,5,1,3,4,4,1,1,3,5,1,4,5,2,5,2,5,5,3,1,4,3,1,4,1,4,3,1,5,5,2,1,2,2,4,2,4,5,5,1,1,2,5,1,1,3,2,5,2,3,3,2,4,3,5,2,4,2,3,2,3,2,3,2,4,3,4,2,3,5,2,4,4,2,3,4,1,3,3,4,3,3,5,4,3,2,5,5,4,4,4,4,5,5,3,5,4,5,2,5,1,4,4,5,2,4,3,4,3,5,5,5,5,4,5,4,5,2,4,5,4,4,1,1,5,5,1,2,4,4,5,5,3,4,3,4,5,4,2,5,3,5,4,5,2,4,2,5,3,5,2,4,2,4,1,5,2,1,5,3,5,5,4,4,4,4,4,1,5,5,2,5,4,5,4,5,5,4,1,5,4,5,1,2,4,5,1,1,5,4,4,2,5,1,5,5,3,3,5,4,2,4,4,1,5,5,5,4,1,5,4,1,2,3,4,3,4,4,2,5,1,5,4,1,5,5,2,4,5,5,5,4,2,3,5,2,1,4,5,2,5,2,4,3,5,5,1,1,5,4,4,5,4,5,5,4,2,4,5,4,5,2,2,2,1,2,6,2,2,3,1,2,5,3,2,3,1,3,5,2,2,1,3,6,5,1,4,2,1,6,5,3,1,2,2,1,3,5,2,3,4,1,2,5,2,4,2,2,5,1,2,2,2,5,2,1,1,5,2,2,1,5,5,1,1,1,3,1, ,4,1,2,1,3,2,4,5,5,5,5,4,2,2,3,4,4,5,1,1,1,1,1,2,2,5,4,4,4,5,22,58,45,16,46,4,4,4,3,3,3,4,3,4,3,3,4,4,4,3,4,5,3,4,26,32,26,31,28,2,3,4,5,4,2,4,5,5,5,4,3,3,4,4,4,3,4,5,4,5,3,5,4,5,5,4,5,5,4,5,3,4,5,5,5,4,3,3,4,5,4,4,4,5,4,4,3,5,5,4,81,52,52,38,36,48,41,45,49,48,42,44,51,41,31,49,2,1,25,30,16,19,15,57,125,7,7,4,4,4,5,5,7,5,97,.703414965292625,.263047881321044,.494734869265024,1.42373424385806,.885788866250394,-.956144629190437,-.639707032492129,-1.19844702078471,-.284573847415935,-.674371366610718
1835,30.5833333333333,1,19,2, , , , ,1, , , , ,1,3,1, ,2, ,6,4, , , ,5,5,5,5,6,5,4,2,3,3,2,4,4,3,3,3,4,4,2,5,5,4,2,1,3,5,4,4,5,2,2,4,2,4,2,1,2,2,5,4,1,5,4,1,4,5,4,5,1,2,4,2,2,5,2,1,4,2,4,4,2,4,4,2,5,1,4,2,1,2,4,2,1,1,5,4,4,4,4,3,4,2,4,4,3,4,2,4,3,4,3,5,2,4,4,2,2,4,4,4,2,3,4,2,4,4,3,4,4,2,4,4,3,4,1,4,3,4,2,4,4,3,2,4,4,4,4,4,4,4,5,5,4,2,4,4,4,4,2,4,3,2,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,1,4,4,4,4,2,2,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,2,2,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,5,2,4,4,4,2,4,2,4,2,2,4,4,4,4,4,4,4,4,4,4,2,2,4,4,1,2,4,4,4,2,4,4,4,1,4, ,2,4,4,4,4,4,4,4,4,4,3,4,1,1,4,4,4,4,4,4,4,4,4,2,2,4,4,2,4,4,4,4,4,2,4,4,4,4,4,1,3,4,5,5,2,2,3,2,5,4,3,3,4,3,5,4,3,3,4,4,4,4,2,2,2,2,4,3,4,2,4,3,2,5,4,5,3,3,3,5,4,2,4,4,5,3,2,2,2,4,3,1,2,2,4,1,2,2,4,4,1,1,1,3,1, ,4,4,2,4,4,4,4,5,5,5,4,5,2,2,1,2,2,2,4,2,2,1,2,4,5,5,5,4,5,5,48,55,29,28,56,3,2,4,2,4,1,4,3,3,2,2,4,3,4,4,4,4,5,4,30,28,21,32,27,2,2,1,4,2,2,2,4,2,5,2,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,4,1,4,4,4,4,2,2,4,5,4,2,2,2,4,2,2,5,5,2,2,2,4,4,4,56,52,40,28,25,37,34,32,41,40,34,40,35,32,26, ,4,3,29,33,34,23,37,43,190,2,6,5,5,6,5,4,4,6,83, , , , , ,-.0119716176765715,1.65413497480176,.683659680055353,.306360436551715,1.71802088157515
1743,29.05,1,19,2, , , , ,1, , , , ,1,3,1, ,2, ,6,4, , , ,6,6,6,6,2,6,6,5,1,7,4,5,6,2,5,3,2,2,1,5,5,1,4,4,2,5,1,5,5,1,3,5,1,3,3,1,5,5,1,4,1,1,4,1,1,5,1,4,1,4,5,5,4,4,3,1,5,4,5,5,4,5,5,1,4,1,1,2,4,2,5,5,3,1,4,5,1,2,4,2,4,3,3,3,2,4,1,4,1,5,1,2,2,3,2,4,1,4,3,3,2,2,3,2,3,4,2,3,4,2,2,4,3,2,2,5,4,2,2,4,5,5,5,2,5,5,5,2,5,5,5,1,5,1,5,5,5,2,4,5,4,4,4,4,5,5,5,5,2,5,1,5,5,5,5,1,2,5,4,1,1,5,5,5,5,2,5,1,5,5,5,2,5,5,5,5,5,1,5,2,4,2,5,5,5,1,5,1,5,1,4,5,2,5,4,4,5,5,5,5,2,4,4,1,5,5,5,5,4,4,5,2,5,4,5,1,2,4,4,1,1,5,4,4,2,4,2,4,5,1,5,5,5,1,5,5,1,5,5,5,5,1,4,4,1,1,1,5,2,4,5,1,4,1,4,4,1,5,4,1,5,5,5,4,4,1,4,5,2,1,4,4,1,4,1,4,1,4,5,1,1,4,4,4,4,4,4,4,4,1,5,4,4,5,5,1,5,2,3,6,1,1,5,1,2,6,5,3,4,1,1,5,4,4,1,5,5,5,2,3,5,1,5,6,4,1,5,2,1,1,6,4,4,4,1,1,5,4,4,3,1,4,1,1,4,1,6,3,1,1,6,1,4,1,1,6,1,1,1,3,1, ,5,3,5,2,3,4,3,5,5,5,2,5,5,5,5,5,5,5,2,1,2,2,1,4,2,5,5,5,2,5,46,55,60,31,46,5,4,4,3,5,4,5,4,4,4,4,3,5,4,2,4,4,4,4,25,33,33,30,23,4,4,5,5,4,4,5,5,4,5,5,4,5,4,5,4,4,5,5,5,2,4,4,5,4,5,4,5,5,4,4,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,73,58,54,44,45,53,46,47,54,46,41,47,48,42,40,52,1,2,34,33,10,33,17,60,144,6,3,7,1,4,6,6,6,7,98,.26542298453341,1.41779735118294,1.06566631239149,.787266281689536,.84301016846648,-1.41966681983649,-1.61368030932401,-.825846023757309,-1.33596492924673,-1.14442640894923
1127,18.7833333333333,1,19,1, , , , ,1, , , , ,1,2,1, ,2, ,6,4, , , ,5,5,6,5,5,5,4,2,4,5,5,6,5,5,5,3,2,5,4,2,4,5,4,4,3,5,2,3,4,4,4,4,3,3,3,4,4,4,2,3,3,2,3,2,2,4,2,2,2,4,4,5,4,2,4,4,4,4,4,3,3,5,3,2,3,2,1,2,4,4,4,4,4,4,3,3,3,3,2,3,4,3,3,2,4,4,4,4,3,3,3,4,4,4,3,4,4,4,3,2,4,4,4,4,3,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,3,4,4,4,2,4,5,5,3,4,2,3,4,4,3,4,4,5,2,4,3,4,3,4,4,4,5,4,4,4,4,4,2,4,4,3,1,4,4,4,4,4,3,4,4,3,4,4,4,3,4,3,4,4,3,4,2,4,3,4,4,4,2,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,3,4,3,4,4,3,4,4,3,4,4,3,4,4,2,4,4,4,1,4,3,4,4,4,4,3,4,4,4,4,4,3,3,3,4,4,4,3,4,4,4,3,2,4,4,3,4,4,4,3,4,4,1,4,4,3,4,4,4,3,4,4,4,3,4,3,4,3,2,4,4,3,4,4,5,2,4,4,4,2,4,4,4,4,4,3,5,4,3,3,4,4,4,4,4,4,3,2,5,4,4,4,2,3,4,4,3,4,4,3,5,4,4,2,4,5,4,4,4,4,2,5,4,3,3,4,2,2,3,4,2,4,4,2,3,3,4,3,3,2,4,1,4,4,4,3,2,4,2,4,3,3,2,4,4,1,1,1,3,1, ,2,3,4,2,2,2,2,2,3,2,3,4,1,4,4,4,5,3,2,3,3,4,3,4,2,4,4,4,2,2,32,40,47,41,35,3,3,2,4,2,2,2,2,2,3,3,3,3,2,2,2,3,2,2,28,27,20,19,25,3,4,3,4,3,2,2,4,2,5,2,3,2,2,3,4,3,4,2,2,3,2,2,3,2,4,2,5,2,2,3,2,3,2,2,2,2,3,2,2,3,2,2,3,4,3,2,4,2,4,3,61,42,40,32,35,35,36,33,43,37,34,36,40,30,24,40,3,2,40,44,19,28,31,45,194,3,6,4,3,3,3,6,3,4,81,.0340525196072044,-.213063587067154,-.624222444871716,-.595722225546292,-.0493671695758813,1.36460650274546,.410109958897202,.524987052251191,.452781993133297,.863543878225803
12752,212.533333333333,1,18,2, , , , ,1, , , , ,1,3,1, ,2, ,6,4, , , ,6,6,7,7,7,7,7,7,2,6,6,7,7,3,5,3,6,4,2,4,5,4,2,1,5,5,1,1,5,1,5,5,1,5,4,4,3,5,5,5,4,4,5,1,1,3,4,5,3,3,4,5,1,5,1,4,5,5,4,4,5,5,3,4,2,5,2,4,1,1,4,4,2,3,4,1,1,2,3,3,2,2,5,5,5,4,1,3,3,5,5,1,2,5,5,5,2,4,5,4,2,5,3,2,1,1,2,2,4,5,5,2,3,4,2,4,2,4,1,4,5,5,5,3,4,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,4,2,2,2,5,5,3,5,5,4,4,5,5,2,5,5,5,5,5,1,5,2,4,1,3,5,5,1,5,3,5,2,2,5,4,4,4,4,4,4,4,4,2,5,4,2,5,5,4,3,4,5,5,3,4,4,4,2,2,4,4,2,2,5,5,5,4,5,2,3,4,4,4,4,4,2,4,4,2,5,5,4,5,2,4,5,2,1,4,4,2,4,5,2,5,1,5,5,1,4,4,4,4,4,4,4,4,2,4,4,2,4,4,5,2,4,2,4,4,5,4,2,2,5,4,4,4,5,5,5,5,2,4,5,5,5,6,4,5,6,5,6,4,5,6,2,1,1,1,4,5,5,3,4,5,5,5,5,4,6,3,4,5,2,5,6,1,6,5,4,6,5,3,2,2,5,5,2,3,1,1,5,3,5,1,4,5,5,4,2,5,4,5,2,6,6,5,6,1,1,1,3,1, ,5,2,5,3,5,5,1,2,2,2,1,1,2,5,2,2,4,5,4,5,1,1,3,2,5,5,3,2,5,3,49,31,47,32,50,1,1,4,1,5,5,4,1,4,2,2,4,3,4,1,4,1,4,5,33,17,24,26,24,3,3,1,1,1,1,1,5,4,4,4,1,2,4,5,4,5,5,3,4,4,2,4,4,3,4,4,4,4,2,4,2,4,4,4,4,5,2,4,4,5,2,4,4,2,4,4,2,4,4,4,74,52,49,36,38,50,41,38,52,42,41,43,48,37,26,48,1,3,49,38,20,36,55,48,227,1,1,6,2,2,5,2,4,6,88,.648640203775907,1.10664363398597,.225203385051739,.254777044872803,1.08264355588763,-.0448274332486365,.0864619345502088,-.894176823659295,.925654374943796,.0623863069966357
1875,31.25,1,22,1, , , , , , ,1, , ,1,2,1, ,1,Full Time Student,1,4, , , ,7,5,5,4,3,5,5,3,3,3,2,5,5,2,2,3,4,2,1,4,5,1,2,5,4,5,4,4,5,1,2,5,1,3,4,4,5,4,5,4,1,1,4,2,3,1,2,5,5,4,5,4,3,5,2,1,5,2,4,4,2,5,5,1,3,1,2,2,2,1,5,5,1,1,5,4,3,1,3,1,4,1,1,2,1,3,1,4,3,1,3,1,1,1,1,2,2,1,2,1,1,2,2,2,2,3,3,3,4,2,4,3,4,2,2,4,3,2,1,3,5,5,4,4,5,5,2,3,4,5,4,1,5,3,4,5,5,4,4,3,4,4,4,4,3,5,5,5,5,4,2,3,4,4,4,1,2,5,4,2,3,4,3,5,4,4,5,5,5,5,5,4,4,5,4,4,4,1,5,2,3,2,4,4,2,2,4,1,4,1,1,5,4,5,4,5,4,4,5,5,2,5,5,1,4,5,4,4,5,5,5,1,4,5,5,2,1,4,4,3,1,4,4,5,3,4,1,5,5,1,4,4,5,2,5,4,2,5,5,5,5,2,3,4,4,2,2,5,2,4,5,4,4,1,4,4,2,4,5,1,4,4,4,3,4,1,3,5,1,1,4,4,4,5,5,5,1,4,5,1,2,5,3,5,5,5,5,5,5,3,4,5,5,5,5,4,4,3,2,4,1,2,5,1,2,4,5,2,4,5,1,3,4,4,1,5,4,4,2,3,4,1,5,6,6,1,6,4,1,1,5,4,2,5,1,3,5,2,3,1,1,2,1,4,1,1,5,5,1,2,6,4,5,1,3,5,1,1,1,3,1, ,5,2,3,2,4,5,4,2,5,5,4,5,5,2,5,4,4,3,4,2,2,1,1,4,1,4,1,5,4,5,45,50,52,26,45,3,5,5,4,5,5,4,4,3,4,4,5,3,5,4,4,4,4,5,16,29,33,34,16,2,3,5,3,2,1,4,5,4,4,3,2,1,2,5,4,4,4,5,5,5,2,4,5,5,4,5,3,5,3,5,5,4,4,4,2,4,4,4,2,4,5,5,5,5,2,1,5,5,4,3,70,53,45,37,37,45,45,43,49,39,41,44,49,36,33,47,1,3,29,48,11,33,22,48,172,5,5,5,5,6,6,4,6,7,92,.848429623548931,.752431041709274,.883480322482479,-.611887274884263,.496307330438895,-.220674922946791,-.265573693439368,-1.47548106124545,.108702887913985,-.558286006458945
